,Instrument,TR.ACCOUNTSPAYABLE,TR.ACCOUNTSPAYABLE.CALCDATE,TR.ACCOUNTSPAYABLE.FPERIOD,TR.ACCTSRECEIVTRADENET,TR.ACCTSRECEIVTRADENET.CALCDATE,TR.ACCTSRECEIVTRADENET.FPERIOD,TR.ADVERTISINGEXPENSE,TR.ADVERTISINGEXPENSE.CALCDATE,TR.ADVERTISINGEXPENSE.FPERIOD,TR.BACKLOGVALUEACTUAL,TR.BACKLOGVALUEACTUAL.CALCDATE,TR.BACKLOGVALUEACTUAL.FPERIOD,TR.CAPITALEXPENDITURES,TR.CAPITALEXPENDITURES.CALCDATE,TR.CAPITALEXPENDITURES.FPERIOD,TR.CAPITALLEASEOBLIGATIONS,TR.CAPITALLEASEOBLIGATIONS.CALCDATE,TR.CAPITALLEASEOBLIGATIONS.FPERIOD,TR.CASHANDSTINVESTMENTS,TR.CASHANDSTINVESTMENTS.CALCDATE,TR.CASHANDSTINVESTMENTS.FPERIOD,TR.CASHFROMOPERATINGACT,TR.CASHFROMOPERATINGACT.CALCDATE,TR.CASHFROMOPERATINGACT.FPERIOD,TR.COSTOFREVENUETOTAL,TR.COSTOFREVENUETOTAL.CALCDATE,TR.COSTOFREVENUETOTAL.FPERIOD,TR.DEFERREDREVENUECURRENT,TR.DEFERREDREVENUECURRENT.CALCDATE,TR.DEFERREDREVENUECURRENT.FPERIOD,TR.DEFERREDREVENUELT,TR.DEFERREDREVENUELT.CALCDATE,TR.DEFERREDREVENUELT.FPERIOD,TR.DEPRDEPLETIONANDAMORT,TR.DEPRDEPLETIONANDAMORT.CALCDATE,TR.DEPRDEPLETIONANDAMORT.FPERIOD,TR.EBITACTVALUE,TR.EBITACTVALUE.CALCDATE,TR.EBITACTVALUE.FPERIOD,TR.EBITDAACTVALUE,TR.EBITDAACTVALUE.CALCDATE,TR.EBITDAACTVALUE.FPERIOD,TR.EMPLOYEES,TR.EMPLOYEES.CALCDATE,TR.EMPLOYEES.FPERIOD,TR.GOODWILLNET,TR.GOODWILLNET.CALCDATE,TR.GOODWILLNET.FPERIOD,TR.GROSSDIVIDENDSCMNSTOCK,TR.GROSSDIVIDENDSCMNSTOCK.CALCDATE,TR.GROSSDIVIDENDSCMNSTOCK.FPERIOD,TR.INCOMETAXESPAYABLE,TR.INCOMETAXESPAYABLE.CALCDATE,TR.INCOMETAXESPAYABLE.FPERIOD,TR.INTEXPENSENETNONOPER,TR.INTEXPENSENETNONOPER.CALCDATE,TR.INTEXPENSENETNONOPER.FPERIOD,TR.INTANGIBLESNET,TR.INTANGIBLESNET.CALCDATE,TR.INTANGIBLESNET.FPERIOD,TR.INTERESTINCOMENONOPERATING,TR.INTERESTINCOMENONOPERATING.CALCDATE,TR.INTERESTINCOMENONOPERATING.FPERIOD,TR.INVENTORYACTVALUE,TR.INVENTORYACTVALUE.CALCDATE,TR.INVENTORYACTVALUE.FPERIOD,TR.ISSUANCERETIREMENTOFSTOCKNET,TR.ISSUANCERETIREMENTOFSTOCKNET.CALCDATE,TR.ISSUANCERETIREMENTOFSTOCKNET.FPERIOD,TR.LEASEEXPENSETOTAL,TR.LEASEEXPENSETOTAL.CALCDATE,TR.LEASEEXPENSETOTAL.FPERIOD,TR.MINORITYINTERESTBSSTMT,TR.MINORITYINTERESTBSSTMT.CALCDATE,TR.MINORITYINTERESTBSSTMT.FPERIOD,TR.NETINCOME,TR.NETINCOME.CALCDATE,TR.NETINCOME.FPERIOD,TR.NETINCOMEBEFOREEXTRAITEMS,TR.NETINCOMEBEFOREEXTRAITEMS.CALCDATE,TR.NETINCOMEBEFOREEXTRAITEMS.FPERIOD,TR.NETINCOMEBEFORETAXES,TR.NETINCOMEBEFORETAXES.CALCDATE,TR.NETINCOMEBEFORETAXES.FPERIOD,TR.OTHERCURRENTASSETS,TR.OTHERCURRENTASSETS.CALCDATE,TR.OTHERCURRENTASSETS.FPERIOD,TR.OTHERCURRENTLIABTOTAL,TR.OTHERCURRENTLIABTOTAL.CALCDATE,TR.OTHERCURRENTLIABTOTAL.FPERIOD,TR.OTHERLTASSETSTOTAL,TR.OTHERLTASSETSTOTAL.CALCDATE,TR.OTHERLTASSETSTOTAL.FPERIOD,TR.OTHERLIABILITIESTOTAL,TR.OTHERLIABILITIESTOTAL.CALCDATE,TR.OTHERLIABILITIESTOTAL.FPERIOD,TR.OTHERNONOPERATINGINCOME,TR.OTHERNONOPERATINGINCOME.CALCDATE,TR.OTHERNONOPERATINGINCOME.FPERIOD,TR.PPTYPLANTEQPMTTTLGROSS,TR.PPTYPLANTEQPMTTTLGROSS.CALCDATE,TR.PPTYPLANTEQPMTTTLGROSS.FPERIOD,TR.PROPERTYPLANTEQUIPMENTTOTALNET,TR.PROPERTYPLANTEQUIPMENTTOTALNET.CALCDATE,TR.PROPERTYPLANTEQUIPMENTTOTALNET.FPERIOD,TR.RECEIVABLESOTHER,TR.RECEIVABLESOTHER.CALCDATE,TR.RECEIVABLESOTHER.FPERIOD,TR.REDEEMABLEPREFERREDTTL,TR.REDEEMABLEPREFERREDTTL.CALCDATE,TR.REDEEMABLEPREFERREDTTL.FPERIOD,TR.RESEARCHANDDEVELOPMENT,TR.RESEARCHANDDEVELOPMENT.CALCDATE,TR.RESEARCHANDDEVELOPMENT.FPERIOD,TR.REVENUE,TR.REVENUE.CALCDATE,TR.REVENUE.FPERIOD,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP.CALCDATE,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP.FPERIOD,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP.CALCDATE,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP.FPERIOD,TR.SGAEXPENSETOTAL,TR.SGAEXPENSETOTAL.CALCDATE,TR.SGAEXPENSETOTAL.FPERIOD,TR.SPECIALITEMSMM,TR.SPECIALITEMSMM.CALCDATE,TR.SPECIALITEMSMM.FPERIOD,TR.TAXCURDOM,TR.TAXCURDOM.CALCDATE,TR.TAXCURDOM.FPERIOD,TR.TAXDEFTOT,TR.TAXDEFTOT.CALCDATE,TR.TAXDEFTOT.FPERIOD,TR.TAXOTHINCTOT,TR.TAXOTHINCTOT.CALCDATE,TR.TAXOTHINCTOT.FPERIOD,TR.TOTALASSETSREPORTED,TR.TOTALASSETSREPORTED.CALCDATE,TR.TOTALASSETSREPORTED.FPERIOD,TR.TOTALCURRLIABILITIES,TR.TOTALCURRLIABILITIES.CALCDATE,TR.TOTALCURRLIABILITIES.FPERIOD,TR.TOTALCURRENTASSETS,TR.TOTALCURRENTASSETS.CALCDATE,TR.TOTALCURRENTASSETS.FPERIOD,TR.TOTALDEBTOUTSTANDING,TR.TOTALDEBTOUTSTANDING.CALCDATE,TR.TOTALDEBTOUTSTANDING.FPERIOD,TR.TOTALEQUITY,TR.TOTALEQUITY.CALCDATE,TR.TOTALEQUITY.FPERIOD,TR.TOTALINVENTORY,TR.TOTALINVENTORY.CALCDATE,TR.TOTALINVENTORY.FPERIOD,TR.TOTALLIABILITIES,TR.TOTALLIABILITIES.CALCDATE,TR.TOTALLIABILITIES.FPERIOD,TR.TOTALLONGTERMDEBT,TR.TOTALLONGTERMDEBT.CALCDATE,TR.TOTALLONGTERMDEBT.FPERIOD,TR.TTLPREFERREDSHARESOUT,TR.TTLPREFERREDSHARESOUT.CALCDATE,TR.TTLPREFERREDSHARESOUT.FPERIOD,TR.WARRANTSCONVERTED,TR.WARRANTSCONVERTED.CALCDATE,TR.WARRANTSCONVERTED.FPERIOD
418,INS.L,632000.0,2017-09-26,FY2016,5998000.0,2017-09-26,FY2016,,,,,,,-1003000.0,2017-09-26,FY2016,84000.0,2017-09-26,FY2016,4189000.0,2017-09-26,FY2016,127000.0,2017-09-26,FY2016,599000.0,2017-09-26,FY2016,9092000.0,2017-09-26,FY2016,,,,1203000.0,2017-09-26,FY2016,2382000.0,2019-04-01,FY2018,4052000.0,2019-04-01,FY2018,196,2017-09-26,FY2016,11015000.0,2017-09-26,FY2016,0.0,2017-09-26,FY2016,429000.0,2017-09-26,FY2016,-40000.0,2017-09-26,FY2016,6592000.0,2017-09-26,FY2016,0.0,2017-09-26,FY2016,,2019-04-01,,4823000.0,2017-09-26,FY2016,,,,,,,1058000.0,2017-09-26,FY2016,1058000.0,2017-09-26,FY2016,23000.0,2017-09-26,FY2016,10000.0,2017-09-26,FY2016,10471000.0,2017-09-26,FY2016,947000.0,2017-09-26,FY2016,4904000.0,2017-09-26,FY2016,-259000.0,2017-09-26,FY2016,1136000.0,2017-09-26,FY2016,374000.0,2017-09-26,FY2016,,2017-09-26,FY2015,,,,,,,18319000.0,2017-09-26,FY2016,,2017-09-26,FY2017,,,,11893000.0,2017-09-26,FY2016,617000.0,2017-09-26,FY2016,244000.0,2017-09-26,FY2016,-831000.0,2017-09-26,FY2016,-1035000.0,2017-09-26,FY2016,30942000.0,2017-09-26,FY2016,13170000.0,2017-09-26,FY2016,12014000.0,2017-09-26,FY2016,113000.0,2017-09-26,FY2016,12784000.0,2017-09-26,FY2016,916000.0,2017-09-26,FY2016,18158000.0,2017-09-26,FY2016,84000.0,2017-09-26,FY2016,,,,,,
419,INS.L,,2018-03-26,FY2016,9470000.0,2018-03-26,FY2017,,,,,,,-1634000.0,2018-03-26,FY2017,51000.0,2018-03-26,FY2017,3064000.0,2018-03-26,FY2017,1392000.0,2018-03-26,FY2017,1685000.0,2018-03-26,FY2017,10967000.0,2018-03-26,FY2017,,,,1590000.0,2018-03-26,FY2017,2382000.0,2019-09-23,FY2018,4052000.0,2019-09-23,FY2018,217,2018-03-26,FY2017,,2018-03-26,FY2016,0.0,2018-03-26,FY2017,226000.0,2018-03-26,FY2017,-118000.0,2018-03-26,FY2017,17440000.0,2018-03-26,FY2017,,2018-03-26,FY2017,,2019-09-23,,29000.0,2018-03-26,FY2017,,,,,,,642000.0,2018-03-26,FY2017,642000.0,2018-03-26,FY2017,252000.0,2018-03-26,FY2017,,2018-03-26,FY2016,11381000.0,2018-03-26,FY2017,393000.0,2018-03-26,FY2017,4000000.0,2018-03-26,FY2017,-198000.0,2018-03-26,FY2017,,2018-03-26,FY2016,299000.0,2018-03-26,FY2017,1267000.0,2018-03-26,FY2017,,,,,,,21071000.0,2018-03-26,FY2017,,2018-03-26,FY2017,,,,13269000.0,2018-03-26,FY2017,-443000.0,2018-03-26,FY2017,,2018-03-26,FY2017,,2018-03-26,FY2017,-390000.0,2018-03-26,FY2017,31962000.0,2018-03-26,FY2017,14138000.0,2018-03-26,FY2017,13830000.0,2018-03-26,FY2017,83000.0,2018-03-26,FY2017,13773000.0,2018-03-26,FY2017,29000.0,2018-03-26,FY2017,18189000.0,2018-03-26,FY2017,51000.0,2018-03-26,FY2017,,,,,,
420,INS.L,,2018-09-24,FY2016,9470000.0,2018-09-24,FY2017,,,,,,,-1634000.0,2018-09-24,FY2017,51000.0,2018-09-24,FY2017,3064000.0,2018-09-24,FY2017,1392000.0,2018-09-24,FY2017,1685000.0,2018-09-24,FY2017,10967000.0,2018-09-24,FY2017,,,,1590000.0,2018-09-24,FY2017,3347000.0,2020-06-03,FY2019,4864000.0,2020-06-03,FY2019,217,2018-09-24,FY2017,,2018-09-24,FY2016,0.0,2018-09-24,FY2017,226000.0,2018-09-24,FY2017,-118000.0,2018-09-24,FY2017,17440000.0,2018-09-24,FY2017,,2018-09-24,FY2017,,2020-06-03,,29000.0,2018-09-24,FY2017,,,,,,,642000.0,2018-09-24,FY2017,642000.0,2018-09-24,FY2017,252000.0,2018-09-24,FY2017,,2018-09-24,FY2016,11381000.0,2018-09-24,FY2017,393000.0,2018-09-24,FY2017,4000000.0,2018-09-24,FY2017,-198000.0,2018-09-24,FY2017,,2018-09-24,FY2016,299000.0,2018-09-24,FY2017,1267000.0,2018-09-24,FY2017,,,,,,,21071000.0,2018-09-24,FY2017,,2018-09-24,FY2018,,,,13269000.0,2018-09-24,FY2017,-443000.0,2018-09-24,FY2017,,2018-09-24,FY2017,,2018-09-24,FY2017,-390000.0,2018-09-24,FY2017,31962000.0,2018-09-24,FY2017,14138000.0,2018-09-24,FY2017,13830000.0,2018-09-24,FY2017,83000.0,2018-09-24,FY2017,13773000.0,2018-09-24,FY2017,29000.0,2018-09-24,FY2017,18189000.0,2018-09-24,FY2017,51000.0,2018-09-24,FY2017,,,,,,
421,INS.L,,2019-04-01,FY2016,7807000.0,2019-04-01,FY2018,,,,,,,-1635000.0,2019-04-01,FY2018,18000.0,2019-04-01,FY2018,3572000.0,2019-04-01,FY2018,2202000.0,2019-04-01,FY2018,1109000.0,2019-04-01,FY2018,8625000.0,2019-04-01,FY2018,,,,1670000.0,2019-04-01,FY2018,3347000.0,2020-09-28,FY2019,4864000.0,2020-09-28,FY2019,,2019-04-01,FY2018,,2019-04-01,FY2016,,2019-04-01,FY2018,401000.0,2019-04-01,FY2018,-15000.0,2019-04-01,FY2018,17411000.0,2019-04-01,FY2018,,2019-04-01,FY2018,,2020-09-28,,50000.0,2019-04-01,FY2018,,,,,,,1470000.0,2019-04-01,FY2018,1470000.0,2019-04-01,FY2018,1677000.0,2019-04-01,FY2018,,2019-04-01,FY2017,9038000.0,2019-04-01,FY2018,0.0,2019-04-01,FY2018,2499000.0,2019-04-01,FY2018,-176000.0,2019-04-01,FY2018,,2019-04-01,FY2016,300000.0,2019-04-01,FY2018,1013000.0,2019-04-01,FY2018,,,,,,,22705000.0,2019-04-01,FY2018,,2019-04-01,FY2018,,,,13561000.0,2019-04-01,FY2018,-539000.0,2019-04-01,FY2018,,2019-04-01,FY2018,,2019-04-01,FY2018,,2019-04-01,FY2018,30140000.0,2019-04-01,FY2018,11228000.0,2019-04-01,FY2018,12429000.0,2019-04-01,FY2018,52000.0,2019-04-01,FY2018,16395000.0,2019-04-01,FY2018,37000.0,2019-04-01,FY2018,13745000.0,2019-04-01,FY2018,18000.0,2019-04-01,FY2018,,,,,,
422,INS.L,,2019-09-23,FY2016,7807000.0,2019-09-23,FY2018,,,,,,,-1635000.0,2019-09-23,FY2018,18000.0,2019-09-23,FY2018,3572000.0,2019-09-23,FY2018,2202000.0,2019-09-23,FY2018,1109000.0,2019-09-23,FY2018,8625000.0,2019-09-23,FY2018,,,,1670000.0,2019-09-23,FY2018,4473000.0,2021-04-12,FY2020,5919000.0,2021-04-12,FY2020,,2019-09-23,FY2018,,2019-09-23,FY2016,,2019-09-23,FY2018,401000.0,2019-09-23,FY2018,-15000.0,2019-09-23,FY2018,17411000.0,2019-09-23,FY2018,,2019-09-23,FY2018,,2021-04-12,,50000.0,2019-09-23,FY2018,,,,,,,1470000.0,2019-09-23,FY2018,1470000.0,2019-09-23,FY2018,1677000.0,2019-09-23,FY2018,,2019-09-23,FY2017,9038000.0,2019-09-23,FY2018,0.0,2019-09-23,FY2018,2499000.0,2019-09-23,FY2018,-176000.0,2019-09-23,FY2018,,2019-09-23,FY2016,300000.0,2019-09-23,FY2018,1013000.0,2019-09-23,FY2018,,,,,,,22705000.0,2019-09-23,FY2018,,2019-09-23,FY2019,,,,13561000.0,2019-09-23,FY2018,-539000.0,2019-09-23,FY2018,,2019-09-23,FY2018,,2019-09-23,FY2018,,2019-09-23,FY2018,30140000.0,2019-09-23,FY2018,11228000.0,2019-09-23,FY2018,12429000.0,2019-09-23,FY2018,52000.0,2019-09-23,FY2018,16395000.0,2019-09-23,FY2018,37000.0,2019-09-23,FY2018,13745000.0,2019-09-23,FY2018,18000.0,2019-09-23,FY2018,,,,,,
423,INS.L,912000.0,2020-06-03,FY2019,5741000.0,2020-06-03,FY2019,,,,,,,-1435000.0,2020-06-03,FY2019,2004000.0,2020-06-03,FY2019,5957000.0,2020-06-03,FY2019,5423000.0,2020-06-03,FY2019,1457000.0,2020-06-03,FY2019,8942000.0,2020-06-03,FY2019,,,,2040000.0,2020-06-03,FY2019,4473000.0,2021-09-27,FY2020,5919000.0,2021-09-27,FY2020,268,2020-06-03,FY2019,10176000.0,2020-06-03,FY2019,0.0,2020-06-03,FY2019,404000.0,2020-06-03,FY2019,-154000.0,2020-06-03,FY2019,7932000.0,2020-06-03,FY2019,,2020-06-03,FY2019,,2021-09-27,,648000.0,2020-06-03,FY2019,,,,,,,-923000.0,2020-06-03,FY2019,-923000.0,2020-06-03,FY2019,-901000.0,2020-06-03,FY2019,,2020-06-03,FY2018,10135000.0,2020-06-03,FY2019,,2020-06-03,FY2019,2613000.0,2020-06-03,FY2019,-53000.0,2020-06-03,FY2019,3919000.0,2020-06-03,FY2019,2402000.0,2020-06-03,FY2019,1158000.0,2020-06-03,FY2019,,,,,,,25717000.0,2020-06-03,FY2019,2165000.0,2020-06-03,FY2019,,,,14368000.0,2020-06-03,FY2019,-3477000.0,2020-06-03,FY2019,0.0,2020-06-03,FY2019,177000.0,2020-06-03,FY2019,22000.0,2020-06-03,FY2019,34796000.0,2020-06-03,FY2019,13380000.0,2020-06-03,FY2019,14111000.0,2020-06-03,FY2019,2587000.0,2020-06-03,FY2019,16799000.0,2020-06-03,FY2019,36000.0,2020-06-03,FY2019,17997000.0,2020-06-03,FY2019,2004000.0,2020-06-03,FY2019,,,,,,
424,INS.L,912000.0,2020-09-28,FY2019,5741000.0,2020-09-28,FY2019,,,,,,,-1435000.0,2020-09-28,FY2019,2004000.0,2020-09-28,FY2019,5957000.0,2020-09-28,FY2019,5423000.0,2020-09-28,FY2019,1457000.0,2020-09-28,FY2019,8942000.0,2020-09-28,FY2019,,,,2040000.0,2020-09-28,FY2019,6142000.0,2022-04-26,FY2021,8250000.0,2022-04-26,FY2021,268,2020-09-28,FY2019,10176000.0,2020-09-28,FY2019,0.0,2020-09-28,FY2019,404000.0,2020-09-28,FY2019,-154000.0,2020-09-28,FY2019,7932000.0,2020-09-28,FY2019,,2020-09-28,FY2019,,2022-04-26,,648000.0,2020-09-28,FY2019,,,,,,,-923000.0,2020-09-28,FY2019,-923000.0,2020-09-28,FY2019,-901000.0,2020-09-28,FY2019,,2020-09-28,FY2018,10135000.0,2020-09-28,FY2019,,2020-09-28,FY2019,2613000.0,2020-09-28,FY2019,-53000.0,2020-09-28,FY2019,3919000.0,2020-09-28,FY2019,2402000.0,2020-09-28,FY2019,1158000.0,2020-09-28,FY2019,,,,,,,25717000.0,2020-09-28,FY2019,2165000.0,2020-09-28,FY2019,,,,14368000.0,2020-09-28,FY2019,-3477000.0,2020-09-28,FY2019,0.0,2020-09-28,FY2019,177000.0,2020-09-28,FY2019,22000.0,2020-09-28,FY2019,34796000.0,2020-09-28,FY2019,13380000.0,2020-09-28,FY2019,14111000.0,2020-09-28,FY2019,2587000.0,2020-09-28,FY2019,16799000.0,2020-09-28,FY2019,36000.0,2020-09-28,FY2019,17997000.0,2020-09-28,FY2019,2004000.0,2020-09-28,FY2019,,,,,,
425,INS.L,466000.0,2021-04-12,FY2020,5266000.0,2021-04-12,FY2020,,,,,,,-1413000.0,2021-04-12,FY2020,1476000.0,2021-04-12,FY2020,26724000.0,2021-04-12,FY2020,6941000.0,2021-04-12,FY2020,1543000.0,2021-04-12,FY2020,9878000.0,2021-04-12,FY2020,,,,2110000.0,2021-04-12,FY2020,6142000.0,2022-09-27,FY2021,8250000.0,2022-09-27,FY2021,304,2021-04-12,FY2020,10176000.0,2021-04-12,FY2020,0.0,2021-04-12,FY2020,0.0,2021-04-12,FY2020,-134000.0,2021-04-12,FY2020,7847000.0,2021-04-12,FY2020,7000.0,2021-04-12,FY2020,,2022-09-27,,15423000.0,2021-04-12,FY2020,,,,,,,2274000.0,2021-04-12,FY2020,2274000.0,2021-04-12,FY2020,2549000.0,2021-04-12,FY2020,,2021-04-12,FY2019,10236000.0,2021-04-12,FY2020,,2021-04-12,FY2020,4434000.0,2021-04-12,FY2020,-73000.0,2021-04-12,FY2020,3588000.0,2021-04-12,FY2020,1980000.0,2021-04-12,FY2020,724000.0,2021-04-12,FY2020,,,,,,,28217000.0,2021-04-12,FY2020,1742000.0,2021-04-12,FY2020,,,,17426000.0,2021-04-12,FY2020,-606000.0,2021-04-12,FY2020,,2021-04-12,FY2019,414000.0,2021-04-12,FY2020,275000.0,2021-04-12,FY2020,53763000.0,2021-04-12,FY2020,13802000.0,2021-04-12,FY2020,33632000.0,2021-04-12,FY2020,2899000.0,2021-04-12,FY2020,33236000.0,2021-04-12,FY2020,50000.0,2021-04-12,FY2020,20527000.0,2021-04-12,FY2020,2291000.0,2021-04-12,FY2020,,,,,,
426,INS.L,466000.0,2021-09-27,FY2020,5266000.0,2021-09-27,FY2020,,,,,,,-1413000.0,2021-09-27,FY2020,1476000.0,2021-09-27,FY2020,26724000.0,2021-09-27,FY2020,6941000.0,2021-09-27,FY2020,1543000.0,2021-09-27,FY2020,9878000.0,2021-09-27,FY2020,,,,2110000.0,2021-09-27,FY2020,6400000.0,2023-05-15,FY2022,10863000.0,2023-05-15,FY2022,304,2021-09-27,FY2020,10176000.0,2021-09-27,FY2020,0.0,2021-09-27,FY2020,0.0,2021-09-27,FY2020,-134000.0,2021-09-27,FY2020,7847000.0,2021-09-27,FY2020,7000.0,2021-09-27,FY2020,76000.0,2023-05-15,FY2022,15423000.0,2021-09-27,FY2020,,,,,,,2274000.0,2021-09-27,FY2020,2274000.0,2021-09-27,FY2020,2549000.0,2021-09-27,FY2020,,2021-09-27,FY2019,10236000.0,2021-09-27,FY2020,,2021-09-27,FY2020,4434000.0,2021-09-27,FY2020,-73000.0,2021-09-27,FY2020,3588000.0,2021-09-27,FY2020,1980000.0,2021-09-27,FY2020,724000.0,2021-09-27,FY2020,,,,,,,28217000.0,2021-09-27,FY2020,1742000.0,2021-09-27,FY2020,,,,17426000.0,2021-09-27,FY2020,-606000.0,2021-09-27,FY2020,,2021-09-27,FY2019,414000.0,2021-09-27,FY2020,275000.0,2021-09-27,FY2020,53763000.0,2021-09-27,FY2020,13802000.0,2021-09-27,FY2020,33632000.0,2021-09-27,FY2020,2899000.0,2021-09-27,FY2020,33236000.0,2021-09-27,FY2020,50000.0,2021-09-27,FY2020,20527000.0,2021-09-27,FY2020,2291000.0,2021-09-27,FY2020,,,,,,
427,INS.L,1522000.0,2022-04-26,FY2021,13205000.0,2022-04-26,FY2021,,,,,,,-2382000.0,2022-04-26,FY2021,1248000.0,2022-04-26,FY2021,15021000.0,2022-04-26,FY2021,9200000.0,2022-04-26,FY2021,1716000.0,2022-04-26,FY2021,18935000.0,2022-04-26,FY2021,,,,3671000.0,2022-04-26,FY2021,6400000.0,2023-06-30,FY2022,10863000.0,2023-06-30,FY2022,436,2022-04-26,FY2021,34620000.0,2022-04-26,FY2021,0.0,2022-04-26,FY2021,,2022-04-26,FY2020,-182000.0,2022-04-26,FY2021,23691000.0,2022-04-26,FY2021,6000.0,2022-04-26,FY2021,76000.0,2023-06-30,FY2022,22000.0,2022-04-26,FY2021,,,,,,,1678000.0,2022-04-26,FY2021,1678000.0,2022-04-26,FY2021,2984000.0,2022-04-26,FY2021,,2022-04-26,FY2020,25547000.0,2022-04-26,FY2021,,2022-04-26,FY2021,7033000.0,2022-04-26,FY2021,-894000.0,2022-04-26,FY2021,4370000.0,2022-04-26,FY2021,2669000.0,2022-04-26,FY2021,130000.0,2022-04-26,FY2021,,,,,,,46017000.0,2022-04-26,FY2021,2077000.0,2022-04-26,FY2021,,,,28469000.0,2022-04-26,FY2021,-667000.0,2022-04-26,FY2021,,2022-04-26,FY2020,223000.0,2022-04-26,FY2021,1306000.0,2022-04-26,FY2021,91176000.0,2022-04-26,FY2021,32347000.0,2022-04-26,FY2021,30111000.0,2022-04-26,FY2021,2325000.0,2022-04-26,FY2021,47301000.0,2022-04-26,FY2021,64000.0,2022-04-26,FY2021,43875000.0,2022-04-26,FY2021,1248000.0,2022-04-26,FY2021,,,,,,
428,INS.L,1522000.0,2022-09-27,FY2021,13205000.0,2022-09-27,FY2021,,,,,,,-2382000.0,2022-09-27,FY2021,1248000.0,2022-09-27,FY2021,15021000.0,2022-09-27,FY2021,9200000.0,2022-09-27,FY2021,1716000.0,2022-09-27,FY2021,18935000.0,2022-09-27,FY2021,,,,3671000.0,2022-09-27,FY2021,,,,,,,436,2022-09-27,FY2021,34620000.0,2022-09-27,FY2021,0.0,2022-09-27,FY2021,,2022-09-27,FY2020,-182000.0,2022-09-27,FY2021,23691000.0,2022-09-27,FY2021,6000.0,2022-09-27,FY2021,,,,22000.0,2022-09-27,FY2021,,,,,,,1678000.0,2022-09-27,FY2021,1678000.0,2022-09-27,FY2021,2984000.0,2022-09-27,FY2021,,2022-09-27,FY2020,25547000.0,2022-09-27,FY2021,,2022-09-27,FY2021,7033000.0,2022-09-27,FY2021,-894000.0,2022-09-27,FY2021,4370000.0,2022-09-27,FY2021,2669000.0,2022-09-27,FY2021,130000.0,2022-09-27,FY2021,,,,,,,46017000.0,2022-09-27,FY2021,2077000.0,2022-09-27,FY2021,,,,28469000.0,2022-09-27,FY2021,-667000.0,2022-09-27,FY2021,,2022-09-27,FY2020,223000.0,2022-09-27,FY2021,1306000.0,2022-09-27,FY2021,91176000.0,2022-09-27,FY2021,32347000.0,2022-09-27,FY2021,30111000.0,2022-09-27,FY2021,2325000.0,2022-09-27,FY2021,47301000.0,2022-09-27,FY2021,64000.0,2022-09-27,FY2021,43875000.0,2022-09-27,FY2021,1248000.0,2022-09-27,FY2021,,,,,,
429,INS.L,2232000.0,2023-05-15,FY2022,15608000.0,2023-05-15,FY2022,,,,,,,-3514000.0,2023-05-15,FY2022,491000.0,2023-05-15,FY2022,13964000.0,2023-05-15,FY2022,7872000.0,2023-05-15,FY2022,2594000.0,2023-05-15,FY2022,22745000.0,2023-05-15,FY2022,,,,4356000.0,2023-05-15,FY2022,,,,,,,493,2023-05-15,FY2022,34564000.0,2023-05-15,FY2022,0.0,2023-05-15,FY2022,251000.0,2023-05-15,FY2022,-336000.0,2023-05-15,FY2022,23777000.0,2023-05-15,FY2022,5000.0,2023-05-15,FY2022,,,,36000.0,2023-05-15,FY2022,,,,,,,4697000.0,2023-05-15,FY2022,4697000.0,2023-05-15,FY2022,5473000.0,2023-05-15,FY2022,,2023-05-15,FY2021,28761000.0,2023-05-15,FY2022,,2023-05-15,FY2022,2058000.0,2023-05-15,FY2022,-721000.0,2023-05-15,FY2022,4070000.0,2023-05-15,FY2022,1888000.0,2023-05-15,FY2022,0.0,2023-05-15,FY2022,,,,,,,58880000.0,2023-05-15,FY2022,1120000.0,2023-05-15,FY2022,,,,36307000.0,2023-05-15,FY2022,-914000.0,2023-05-15,FY2022,,2023-05-15,FY2021,-1161000.0,2023-05-15,FY2022,776000.0,2023-05-15,FY2022,92709000.0,2023-05-15,FY2022,34902000.0,2023-05-15,FY2022,32438000.0,2023-05-15,FY2022,1305000.0,2023-05-15,FY2022,53357000.0,2023-05-15,FY2022,76000.0,2023-05-15,FY2022,39352000.0,2023-05-15,FY2022,491000.0,2023-05-15,FY2022,,,,,,
